competitor,category,target_customer,pricing_model,published_entry_price,implementation_cost,strengths,weaknesses,rfq_support,supplier_workflow,quote_workflow,revenue_attribution,ai_support,self_hosted,integration_options,gap_revenueos_addresses,official_source,checked_date
Salesforce Sales Cloud,CRM,SMB to enterprise,Per user subscription,"$25/user/month Starter; Enterprise $175; Unlimited $350","Partner or professional services; not published","Broad CRM platform; ecosystem; automation; APIs","Industrial RFQ and supplier work require configuration and add-ons",Partial,No,Yes,Partial,Yes,No,"API; AppExchange; MuleSoft","RFQ delivery assurance; supplier cost; deterministic product attribution",https://www.salesforce.com/sales/pricing/,2026-08-03
HubSpot Sales Hub,CRM,Growing sales teams,Per seat subscription,"Free; Starter $9/seat/month annual","Professional onboarding $1,500; Enterprise $3,500 on official 2026 guide","Fast adoption; marketing and sales context; large integration ecosystem","Supplier sourcing and industrial cost evidence are not core",Partial,No,Yes,Partial,Yes,No,"APIs; marketplace; webhooks","RFQ-to-supplier-to-margin operating chain",https://blog.hubspot.com/sales/hubspot-sales-hub-pricing,2026-08-03
HubSpot Revenue Hub,CPQ and payments,HubSpot customers,Monthly subscription,"Professional from $95/month; Enterprise from $140/month",Not published,"Quotes; contracts; payments; revenue analytics inside HubSpot","Best fit inside HubSpot; not industrial sourcing operations",Partial,No,Yes,Yes,Yes,No,"HubSpot platform integrations","Supplier and technical product workflows before CPQ",https://www.hubspot.com/products/revenue,2026-08-03
Microsoft Dynamics 365 Sales,CRM,Mid-market and enterprise,Per user annual subscription,"Professional $65; Enterprise $105; Premium $150 per user/month",Not published,"Microsoft ecosystem; customization; reporting; Copilot","Implementation complexity; industrial RFQ layer remains custom",Partial,No,Yes,Partial,Yes,No,"Dataverse; Power Platform; APIs","Fast RFQ ingest; sourcing; margin and SEO attribution",https://www.microsoft.com/en-us/dynamics-365/products/sales/pricing,2026-08-03
Zoho CRM,CRM,SMB and mid-market,Per user subscription,"Standard $14; Professional $23; Enterprise $40; Ultimate $52 annual",Optional services not published,"Value; workflows; customization; broad suite","Deep industrial sourcing and quote evidence require design",Partial,No,Partial,Partial,Yes,No,"API; marketplace; Zoho suite","Industrial RFQ state machine and delivery assurance",https://www.zoho.com/crm/zohocrm-pricing-calculator.html,2026-08-03
Pipedrive,CRM,SMB sales teams,Per seat subscription,"Four paid tiers; live price varies by market",Not published,"Simple visual pipeline; adoption; add-ons","Limited supplier cost and operational audit depth",Partial,No,Partial,Partial,Yes,No,"API; marketplace; add-ons","RFQ and sourcing workflow above a simple deal pipeline",https://support.pipedrive.com/en/article/how-does-pricing-work-in-pipedrive,2026-08-03
Odoo,ERP CRM and commerce,SMB to mid-market,Per user suite subscription,"Standard $24.90; Custom $49/user/month annual promotional price","Partner implementation; not published","Integrated CRM; sales; inventory; purchase; accounting; on-premise option","Broad ERP implementation; revenue attribution needs configuration",Partial,Yes,Yes,Partial,Yes,Yes,"External API on Custom; modules; partners","Focused RFQ operating layer without replacing Odoo",https://www.odoo.com/pricing,2026-08-03
Freshsales,CRM,SMB and mid-market,Per user subscription,"Growth $9; Pro $39; Enterprise $59/user/month annual",Not published,"Low entry; assignment; product catalog; one CPQ license; AI","Supplier workflows and full margin chain are not core",Partial,No,Yes,Partial,Yes,No,"Marketplace; APIs; native channels","Industrial RFQ sourcing and paid-margin attribution",https://www.freshworks.com/crm/pricing/,2026-08-03
monday CRM,Work CRM,Flexible SMB and departmental teams,Per seat subscription,"Basic $12; Standard $17/seat/month annual shown for 10 seats",Not published,"Flexible boards; automations; quotes; approachable UI","Governance and industrial domain model need configuration",Partial,No,Yes,Partial,Yes,No,"Integrations; automations; API","Durable commercial identity and controlled state machine",https://monday.com/crm/pricing,2026-08-03
SugarAI,CRM,Mid-market sales teams,Quote and subscription,Contact sales,Not published,"Relationship intelligence and sales focus","Pricing opacity; no native industrial supplier workflow",Partial,No,Partial,Partial,Yes,No,"APIs; integrations","RFQ delivery; supplier cost; product and margin evidence",https://sugarai.com/pricing,2026-08-03
